ticker,news_sentiment_7d,news_sentiment_30d,news_sentiment_trend,news_volume_7d,news_volume_ratio,news_positive_pct,news_negative_pct,filing_count_30d,filing_sentiment,has_8k_recent,filing_risk_sentiment,mgmt_outlook,fda_event_recent,fda_sentiment,clinical_trial_active,regulatory_risk,days_to_earnings,earnings_surprise_last,guidance_sentiment,event_risk_score,sentiment_confidence,composite_sentiment
APH,0.4651892490684986,0.4651892490684986,0.0,10,4.28,60.0,10.0,1,0.004541893154382706,1,0.0,0.002270946577191353,0,0,0,0.3,90,11.957245006812496,0,0.21196215018630027,0.8,0.18211467263050807
APO,0.14014498684555293,0.14014498684555293,0.0,10,4.28,40.0,30.0,1,0.00042543500661849974,0,0.0,0.00021271750330924987,0,0,0,0.3,90,21.28056564863008,0,0.2769710026308894,0.8,0.08109922437087419
APP,0.48998319497331977,0.48998319497331977,0.0,10,4.28,60.0,10.0,1,0.0,0,0.0,0.0,0,0,0,0.3,90,10.051357300073374,0,0.20700336100533606,0.8,0.18657115419077197
APTV,-0.35650200330253157,-0.3143788098357618,-0.04212319346676979,7,2.996,0.0,40.0,3,0.0020779279193707876,0,0.0,0.0010389639596853938,0,0,0,0.3,90,0.21173770385815133,0,0.35369959933949363,0.3,-0.12383471622428757
ARE,0.04596155798062682,0.04596155798062682,0.0,10,4.28,40.0,20.0,3,0.0010635875165462493,1,0.0,0.0005317937582731247,0,0,0,0.3,90,50.0,0,0.4158076884038746,0.8,0.09140562154818326
ARES,0.08273706510663033,0.08273706510663033,0.0,10,4.28,40.0,30.0,2,0.0,0,0.0,0.0,0,0,0,0.3,90,-14.00425827190074,0,0.34845258697867393,0.8,0.007951585379469502
ARM,-0.49501363169401885,-0.49501363169401885,0.0,10,4.28,20.0,60.0,1,0.0,0,0.0,0.0,0,0,0,0.3,90,5.085657029741684,0,0.20599727366119625,0.8,-0.1656262855482941
ASML,-0.07761120349168778,-0.07761120349168778,0.0,10,4.28,40.0,50.0,2,0.0,0,0.0,0.0,0,0,0,0.3,90,7.989729648089411,0,0.3494777593016624,0.8,-0.015179326749956605
ATO,0.1955884500639513,0.32131979893893003,-0.12573134887497872,8,3.424,50.0,20.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,0.06889989829062239,0,0.20588230998720974,0.8,0.06855930736981888
AVB,0.6461579944007099,0.6461579944007099,0.0,10,4.28,80.0,0.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,-10.54609089505379,0,0.17576840111985803,0.8,0.21033616169766778
AVGO,0.17067352384328843,0.17067352384328843,0.0,10,4.28,30.0,20.0,3,0.0,1,0.0,0.0,0,0,0,0.3,90,1.3216294495022767,0,0.39086529523134234,0.8,0.061718177519404366
AVY,0.4764151057228446,0.4764151057228446,0.0,10,4.28,50.0,0.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,1.8082295672532005,0,0.20971697885543106,0.8,0.1694576313538754
AWK,-0.4630607005674392,0.03460795599967241,-0.4976686565671116,4,1.712,30.0,30.0,3,-0.001071812292294843,1,0.0,-0.0005359061461474215,0,0,0,0.3,90,-2.294503277861828,0,0.33238785988651215,0.8,-0.1658345438030849
AXON,-0.033985506277531385,-0.033985506277531385,0.0,10,4.28,30.0,40.0,1,0.0032655881345272065,0,0.0,0.0016327940672636032,0,0,0,0.3,90,34.50866798881387,0,0.29820289874449374,0.3,0.04084775122644298
AXP,0.11248956136405468,0.11248956136405468,0.0,10,4.28,30.0,10.0,3,0.0,1,0.0,0.0,0,0,0,0.3,90,7.177915339463516,0,0.40250208772718904,0.8,0.050138219486614406
AZO,0.23803045018576086,-0.12389443470165133,0.3619248848874122,4,1.712,20.0,50.0,0,0.0021271750330924986,0,0.0,0.0010635875165462493,0,0,0,0.3,90,1.2380872120503648,0,0.19739390996284784,0.8,0.0858059408930196
BA,0.44746411545202136,0.44746411545202136,0.0,10,4.28,70.0,20.0,3,0.0,1,0.0,0.0,0,0,0,0.3,90,50.0,0,0.3355071769095957,0.8,0.23161244040820744
BAC,0.29397722650319336,0.29397722650319336,0.0,10,4.28,50.0,20.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,8.776606169887508,0,0.1862045546993613,0.8,0.11605693853094892
BALL,0.32658415706828237,0.22105703735724092,0.10552711971104145,4,1.712,40.0,20.0,1,0.0,1,0.0,0.0,0,0,0,0.3,90,1.5069883657374896,0,0.23968316858634353,0.8,0.11656493752250506
BAX,-0.6445773215964437,-0.5582612238824367,-0.08631609771400695,7,2.996,10.0,70.0,0,0.0,0,0.0,0.0,0,0,0,0.3,90,-17.79695848746403,0,0.11608453568071127,0.8,-0.2522975002899513
